decision_step,episode_id,action,reward,done,obs_json,next_obs_json
1,1,0,-2.6418981115023294,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.0, 0.0025210499297827482, 0.028975320979952812, 0.028975320979952812, 0.0, 0.0, 0.0, 0.009999999776482582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04333333298563957, 0.0, 2.0116028736083535e-06, 0.0, 0.0, 0.0, 0.07999999821186066, 0.0, 0.04333333298563957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04333333298563957, 0.0]"
2,1,0,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04333333298563957, 0.0, 2.0116028736083535e-06, 0.0, 0.0, 0.0, 0.07999999821186066, 0.0, 0.04333333298563957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04333333298563957, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0016666667070239782, 0.0, 1.6051036055841905e-09, 0.0, 0.0, 0.0, 0.05119999870657921, 0.0, 0.07666666805744171, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07666666805744171, 0.0]"
3,1,0,-0.9330084880193075,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0016666667070239782, 0.0, 1.6051036055841905e-09, 0.0, 0.0, 0.0, 0.05119999870657921, 0.0, 0.07666666805744171, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07666666805744171, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03500000014901161, 0.0, 0.00014533351350110024, 0.06523929536342621, 0.06523929536342621, 0.0, 0.13276800513267517, 0.0, 0.10999999940395355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10999999940395355, 0.0]"
4,1,0,-2.685546380281449,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03500000014901161, 0.0, 0.00014533351350110024, 0.06523929536342621, 0.06523929536342621, 0.0, 0.13276800513267517, 0.0, 0.10999999940395355, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10999999940395355, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01666666753590107, 0.05000000074505806, 0.05138213932514191, 0.08196671307086945, 0.16646479070186615, 0.0, 0.3849715292453766, 0.0, 0.1433333307504654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1433333307504654, 0.0]"
5,1,0,-5.657290168603262,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01666666753590107, 0.05000000074505806, 0.05138213932514191, 0.08196671307086945, 0.16646479070186615, 0.0, 0.3849715292453766, 0.0, 0.1433333307504654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1433333307504654, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806, 0.0, 0.0006931672105565667, 0.19545716047286987, 0.27276042103767395, 0.0, 0.24638177454471588, 0.0, 0.01666666753590107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17666666209697723, 0.0]"
6,1,1,-9.515263260735404,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05000000074505806, 0.0, 0.0006931672105565667, 0.19545716047286987, 0.27276042103767395, 0.0, 0.24638177454471588, 0.0, 0.01666666753590107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17666666209697723, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0833333358168602, 0.0, 5.53093798316695e-07, 0.2966851592063904, 0.2966851592063904, 0.0, 0.1576843410730362, 0.0, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333507180214, 1.0]"
7,1,1,-1.874441385269165,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0833333358168602, 0.0, 5.53093798316695e-07, 0.2966851592063904, 0.2966851592063904, 0.0, 0.1576843410730362, 0.0, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03333333507180214, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11666666716337204, 0.0, 4.4132608678637553e-10, 0.0, 0.0, 0.0, 0.10091797262430191, 0.0, 0.0833333358168602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666667014360428, 1.0]"
8,1,1,-0.18682392835617065,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11666666716337204, 0.0, 4.4132608678637553e-10, 0.0, 0.0, 0.0, 0.10091797262430191, 0.0, 0.0833333358168602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666667014360428, 1.0]","[0.05000000074505806, 0.04411755129694939, 0.024018878117203712, 0.02662860043346882, 0.0, 0.0, 0.0, 0.15000000596046448, 0.0, 3.521440951337329e-13, 0.0, 0.0, 0.0, 0.06458750367164612, 0.0, 0.11666666716337204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000149011612, 1.0]"
9,1,1,-2.7547948241233824,False,"[0.05000000074505806, 0.04411755129694939, 0.024018878117203712, 0.02662860043346882, 0.0, 0.0, 0.0, 0.15000000596046448, 0.0, 3.521440951337329e-13, 0.0, 0.0, 0.0, 0.06458750367164612, 0.0, 0.11666666716337204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10000000149011612, 1.0]","[0.0, 0.017169732600450516, 0.0882420763373375, 0.14255072176456451, 0.0, 0.23999999463558197, 0.0, 0.18333333730697632, 0.0, 2.809837514333865e-16, 0.0, 0.0, 0.0, 0.04133600369095802, 0.0, 0.15000000596046448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333334028720856, 1.0]"
10,1,1,-6.211120812098185,False,"[0.0, 0.017169732600450516, 0.0882420763373375, 0.14255072176456451, 0.0, 0.23999999463558197, 0.0, 0.18333333730697632, 0.0, 2.809837514333865e-16, 0.0, 0.0, 0.0, 0.04133600369095802, 0.0, 0.15000000596046448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333334028720856, 1.0]","[0.0, 1.3700118870474398e-05, 0.2043367326259613, 0.2586453855037689, 0.0, 0.23360000550746918, 0.0, 0.21666666865348816, 0.0, 0.0017647349741309881, 0.03309384360909462, 0.03309384360909462, 0.0, 0.12645503878593445, 0.0, 0.01666666753590107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1666666716337204, 1.0]"
