t_sec,frame,state,time_in_state,queue_count,queue_ema,avg_wait,max_wait,num_long_wait_60s,arrival_ema,discharge_ema
0.1,9707983,Red,0.1,0,0.0,0.0,0.0,0,0.0,0.0
0.2,9707984,Red,0.2,0,0.0,0.0,0.0,0,0.0,0.0
0.3,9707985,Red,0.3,0,0.0,0.0,0.0,0,0.0,0.0
0.4,9707986,Red,0.4,0,0.0,0.0,0.0,0,0.0,0.0
0.5,9707987,Red,0.5,0,0.0,0.0,0.0,0,0.0,0.0
0.6,9707988,Red,0.6,0,0.0,0.0,0.0,0,0.0,0.0
0.7,9707989,Red,0.7,0,0.0,0.0,0.0,0,0.0,0.0
0.8,9707990,Red,0.8,0,0.0,0.0,0.0,0,0.0,0.0
0.9,9707991,Red,0.9,0,0.0,0.0,0.0,0,0.0,0.0
1.0,9707992,Red,1.0,0,0.0,0.0,0.0,0,0.0,0.0
1.1,9707993,Red,1.1,0,0.0,0.0,0.0,0,0.0,0.0
1.2,9707994,Red,1.2,0,0.0,0.0,0.0,0,0.0,0.0
1.3,9707995,Red,1.3,0,0.0,0.0,0.0,0,0.0,0.0
1.4,9707996,Red,1.4,0,0.0,0.0,0.0,0,0.0,0.0
1.5,9707997,Red,1.5,0,0.0,0.0,0.0,0,0.0,0.0
1.6,9707998,Red,1.6,0,0.0,0.0,0.0,0,0.0,0.0
1.7,9707999,Red,1.7,0,0.0,0.0,0.0,0,0.0,0.0
1.8,9708000,Red,1.8,0,0.0,0.0,0.0,0,0.0,0.0
1.9,9708001,Red,1.9,0,0.0,0.0,0.0,0,0.0,0.0
2.0,9708002,Red,2.0,0,0.0,0.0,0.0,0,0.0,0.0
2.1,9708003,Red,2.1,0,0.0,0.0,0.0,0,0.0,0.0
2.2,9708004,Red,2.2,0,0.0,0.0,0.0,0,0.0,0.0
2.3,9708005,Red,2.3,0,0.0,0.0,0.0,0,0.0,0.0
2.4,9708006,Red,2.4,0,0.0,0.0,0.0,0,0.0,0.0
2.5,9708007,Red,2.5,0,0.0,0.0,0.0,0,0.0,0.0
2.6,9708008,Red,2.6,0,0.0,0.0,0.0,0,0.0,0.0
2.7,9708009,Red,2.7,0,0.0,0.0,0.0,0,0.0,0.0
2.8,9708010,Red,2.8,0,0.0,0.0,0.0,0,0.0,0.0
2.9,9708011,Red,2.9,0,0.0,0.0,0.0,0,0.0,0.0
3.0,9708012,Red,3.0,0,0.0,0.0,0.0,0,0.0,0.0
