decision_step,episode_id,action,reward,done,obs_json,next_obs_json
22,1,1,-0.0,False,"[0.0, 1.2521606677896977e-36, 0.0, 0.0, 0.0, 0.0014076096704229712, 0.0, 0.08166666328907013, 1.0]","[0.0, 9.991272063620589e-40, 0.0, 0.0, 0.0, 0.0009008701890707016, 0.0, 0.11500000208616257, 1.0]"
23,1,1,-0.0,False,"[0.0, 9.991272063620589e-40, 0.0, 0.0, 0.0, 0.0009008701890707016, 0.0, 0.11500000208616257, 1.0]","[0.0, 7.973388262008209e-43, 0.0, 0.0, 0.0, 0.0005765569512732327, 0.0, 0.1483333259820938, 1.0]"
24,1,1,-0.0,False,"[0.0, 7.973388262008209e-43, 0.0, 0.0, 0.0, 0.0005765569512732327, 0.0, 0.1483333259820938, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0003689964360091835, 0.0, 0.18166667222976685, 1.0]"
25,1,1,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0003689964360091835, 0.0, 0.18166667222976685, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00023615772079210728, 0.0, 0.2150000035762787, 1.0]"
26,1,1,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00023615772079210728, 0.0, 0.2150000035762787, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00015114093548618257, 0.0, 0.24833333492279053, 1.0]"
27,1,1,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00015114093548618257, 0.0, 0.24833333492279053, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 9.673020394984633e-05, 0.0, 0.28166666626930237, 1.0]"
28,1,1,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 9.673020394984633e-05, 0.0, 0.28166666626930237, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 6.190733256516978e-05, 0.0, 0.3149999976158142, 1.0]"
29,1,1,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.190733256516978e-05, 0.0, 0.3149999976158142, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 3.96206924051512e-05, 0.0, 0.34833332896232605, 1.0]"
30,1,1,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 3.96206924051512e-05, 0.0, 0.34833332896232605, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.535724161134567e-05, 0.0, 0.3816666603088379, 1.0]"
31,1,1,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.535724161134567e-05, 0.0, 0.3816666603088379, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.6228634194703773e-05, 0.0, 0.41499999165534973, 1.0]"
