t_sec,frame,state,time_in_state,queue_count,queue_ema,avg_wait,max_wait,num_long_wait_60s,arrival_ema,discharge_ema
0.1,89620,Red,0.1,1,0.3,0.0,0.0,0,0.0,0.0
0.2,89621,Red,0.2,0,0.21,0.822,0.822,0,0.0,0.0
0.3,89622,Red,0.3,0,0.147,1.432,1.432,0,0.0,0.0
0.4,89623,Red,0.4,0,0.103,2.068,2.068,0,0.0,0.0
0.5,89624,Red,0.5,0,0.072,2.774,2.774,0,0.0,0.0
0.6,89625,Red,0.6,0,0.05,3.477,3.477,0,0.0,0.0
0.7,89626,Red,0.7,0,0.035,4.363,4.363,0,0.0,0.0
0.8,89627,Red,0.8,0,0.025,5.309,5.309,0,0.0,0.0
0.9,89628,Red,0.9,0,0.017,6.055,6.055,0,0.0,0.0
1.0,89629,Red,1.0,0,0.012,6.705,6.705,0,0.2,0.0
1.1,89630,Red,1.1,0,0.008,7.55,7.55,0,0.2,0.0
1.2,89631,Red,1.2,0,0.006,8.291,8.291,0,0.2,0.0
1.3,89632,Red,1.3,0,0.004,8.947,8.947,0,0.2,0.0
1.4,89633,Red,1.4,0,0.003,9.669,9.669,0,0.2,0.0
1.5,89634,Red,1.5,0,0.002,10.322,10.322,0,0.2,0.0
1.6,89635,Red,1.6,0,0.001,11.017,11.017,0,0.2,0.0
1.7,89636,Red,1.7,0,0.001,11.738,11.738,0,0.2,0.0
1.8,89637,Red,1.8,0,0.001,12.419,12.419,0,0.2,0.0
1.9,89638,Red,1.9,0,0.0,13.069,13.069,0,0.2,0.0
2.0,89639,Red,2.0,0,0.0,13.747,13.747,0,0.16,0.0
2.1,89640,Red,2.1,0,0.0,14.343,14.343,0,0.16,0.0
2.2,89641,Red,2.2,0,0.0,14.97,14.97,0,0.16,0.0
2.3,89642,Red,2.3,0,0.0,0.0,0.0,0,0.16,0.0
2.4,89643,Red,2.4,0,0.0,0.0,0.0,0,0.16,0.0
2.5,89644,Red,2.5,0,0.0,0.0,0.0,0,0.16,0.0
2.6,89645,Red,2.6,0,0.0,0.0,0.0,0,0.16,0.0
2.7,89646,Red,2.7,0,0.0,0.0,0.0,0,0.16,0.0
2.8,89647,Red,2.8,0,0.0,0.0,0.0,0,0.16,0.0
2.9,89648,Red,2.9,0,0.0,0.0,0.0,0,0.16,0.0
3.0,89649,Red,3.0,0,0.0,0.0,0.0,0,0.128,0.0
3.1,89650,Red,3.1,0,0.0,0.0,0.0,0,0.128,0.0
3.2,89651,Red,3.2,0,0.0,0.0,0.0,0,0.128,0.0
3.3,89652,Red,3.3,0,0.0,0.0,0.0,0,0.128,0.0
3.4,89653,Red,3.4,0,0.0,0.0,0.0,0,0.128,0.0
3.5,89654,Red,3.5,0,0.0,0.0,0.0,0,0.128,0.0
3.6,89655,Red,3.6,0,0.0,0.0,0.0,0,0.128,0.0
3.7,89656,Red,3.7,0,0.0,0.0,0.0,0,0.128,0.0
3.8,89657,Red,3.8,0,0.0,0.0,0.0,0,0.128,0.0
3.9,89658,Red,3.9,0,0.0,0.0,0.0,0,0.128,0.0
4.0,89659,Red,4.0,0,0.0,0.0,0.0,0,0.102,0.0
4.1,89660,Red,4.1,0,0.0,0.0,0.0,0,0.102,0.0
4.2,89661,Red,4.2,0,0.0,0.0,0.0,0,0.102,0.0
4.3,89662,Red,4.3,0,0.0,0.0,0.0,0,0.102,0.0
4.4,89663,Red,4.4,0,0.0,0.0,0.0,0,0.102,0.0
4.5,89664,Red,4.5,0,0.0,0.0,0.0,0,0.102,0.0
4.6,89665,Red,4.6,0,0.0,0.0,0.0,0,0.102,0.0
4.7,89666,Red,4.7,0,0.0,0.0,0.0,0,0.102,0.0
4.8,89667,Red,4.8,0,0.0,0.0,0.0,0,0.102,0.0
4.9,89668,Red,4.9,0,0.0,0.0,0.0,0,0.102,0.0
5.0,89669,Red,5.0,0,0.0,0.0,0.0,0,0.082,0.0
5.1,89670,Red,5.1,0,0.0,0.0,0.0,0,0.082,0.0
5.2,89671,Red,5.2,0,0.0,0.0,0.0,0,0.082,0.0
5.3,89672,Red,5.3,1,0.3,0.0,0.0,0,0.082,0.0
5.4,89673,Red,5.4,0,0.21,0.603,0.603,0,0.082,0.0
5.5,89674,Red,5.5,0,0.147,1.225,1.225,0,0.082,0.0
5.6,89675,Red,5.6,0,0.103,1.907,1.907,0,0.082,0.0
5.7,89676,Red,5.7,0,0.072,2.511,2.511,0,0.082,0.0
5.8,89677,Red,5.8,0,0.05,3.116,3.116,0,0.082,0.0
5.9,89678,Red,5.9,0,0.035,3.685,3.685,0,0.082,0.0
6.0,89679,Red,6.0,0,0.025,4.277,4.277,0,0.266,0.0
6.1,89680,Red,6.1,0,0.017,4.89,4.89,0,0.266,0.0
6.2,89681,Red,6.2,0,0.012,5.472,5.472,0,0.266,0.0
6.3,89682,Red,6.3,0,0.008,6.067,6.067,0,0.266,0.0
6.4,89683,Red,6.4,0,0.006,6.649,6.649,0,0.266,0.0
6.5,89684,Red,6.5,0,0.004,7.249,7.249,0,0.266,0.0
6.6,89685,Red,6.6,0,0.003,7.829,7.829,0,0.266,0.0
6.7,89686,Red,6.7,0,0.002,8.404,8.404,0,0.266,0.0
6.8,89687,Red,6.8,0,0.001,9.082,9.082,0,0.266,0.0
6.9,89688,Red,6.9,0,0.001,9.747,9.747,0,0.266,0.0
7.0,89689,Red,7.0,0,0.001,10.354,10.354,0,0.212,0.0
7.1,89690,Red,7.1,0,0.0,10.93,10.93,0,0.212,0.0
7.2,89691,Red,7.2,1,0.3,5.763,11.526,0,0.212,0.0
7.3,89692,Red,7.3,0,0.21,6.385,12.147,0,0.212,0.0
7.4,89693,Red,7.4,1,0.447,4.645,12.73,0,0.212,0.0
7.5,89694,Red,7.5,1,0.613,5.232,13.317,0,0.212,0.0
7.6,89695,Red,7.6,1,0.729,5.817,13.902,0,0.212,0.0
7.7,89696,Red,7.7,1,0.81,6.41,14.496,0,0.212,0.0
7.8,89697,Red,7.8,1,0.867,6.999,15.084,0,0.212,0.0
7.9,89698,Red,7.9,1,0.907,7.604,15.689,0,0.212,0.0
8.0,89699,Red,8.0,2,1.235,6.164,16.304,0,0.77,0.0
8.1,89700,Red,8.1,1,1.164,6.819,16.959,0,0.77,0.0
8.2,89701,Red,8.2,1,1.115,7.459,17.599,0,0.77,0.0
8.3,89702,Red,8.3,1,1.081,8.08,18.22,0,0.77,0.0
8.4,89703,Red,8.4,1,1.056,8.649,18.788,0,0.77,0.0
8.5,89704,Red,8.5,1,1.039,9.254,19.393,0,0.77,0.0
8.6,89705,Red,8.6,1,1.028,9.836,19.976,0,0.77,0.0
8.7,89706,Red,8.7,1,1.019,10.437,20.576,0,0.77,0.0
8.8,89707,Red,8.8,1,1.014,11.002,21.142,0,0.77,0.0
8.9,89708,Red,8.9,1,1.009,11.596,21.736,0,0.77,0.0
9.0,89709,Red,9.0,1,1.007,12.197,22.337,0,0.616,0.0
9.1,89710,Red,9.1,1,1.005,12.784,22.924,0,0.616,0.0
9.2,89711,Red,9.2,1,1.003,13.309,23.449,0,0.616,0.0
9.3,89712,Red,9.3,1,1.002,13.917,24.057,0,0.616,0.0
9.4,89713,Red,9.4,1,1.002,14.495,24.635,0,0.616,0.0
9.5,89714,Red,9.5,0,0.701,15.934,25.21,0,0.616,0.0
9.6,89715,Red,9.6,0,0.491,16.631,25.907,0,0.616,0.0
9.7,89716,Green,0.1,0,0.344,17.276,26.553,0,0.616,0.0
9.8,89717,Green,0.2,0,0.24,17.953,27.229,0,0.616,0.0
9.9,89718,Green,0.3,0,0.168,18.662,27.938,0,0.616,0.0
10.0,89719,Green,0.4,0,0.118,19.299,28.576,0,0.493,0.0
10.1,89720,Green,0.5,0,0.082,19.939,29.216,0,0.493,0.0
10.2,89721,Green,0.6,0,0.058,20.622,29.898,0,0.493,0.0
10.3,89722,Green,0.7,0,0.04,21.292,30.568,0,0.493,0.0
10.4,89723,Green,0.8,0,0.028,21.956,31.232,0,0.493,0.0
10.5,89724,Green,0.9,0,0.02,22.682,31.959,0,0.493,0.0
10.6,89725,Green,1.0,0,0.014,23.455,32.731,0,0.493,0.0
10.7,89726,Green,1.1,0,0.01,24.235,33.511,0,0.493,0.0
10.8,89727,Green,1.2,0,0.007,20.278,22.667,0,0.493,0.0
10.9,89728,Green,1.3,0,0.005,20.921,23.311,0,0.493,0.0
11.0,89729,Green,1.4,0,0.003,21.562,23.951,0,0.394,0.0
11.1,89730,Green,1.5,0,0.002,22.458,24.847,0,0.394,0.0
11.2,89731,Green,1.6,0,0.002,23.43,25.819,0,0.394,0.0
11.3,89732,Green,1.7,0,0.001,24.317,26.706,0,0.394,0.0
11.4,89733,Green,1.8,0,0.001,27.436,27.436,0,0.394,0.0
11.5,89734,Green,1.9,0,0.001,28.095,28.095,0,0.394,0.0
