decision_step,episode_id,action,phase,reward,state,queue_count,avg_wait,num_long_wait_60s,time_in_state
1,1,0,0,-0.0,Yellow,0,0.0,0,0.9999999999999999
2,1,0,0,-6.128176466623942,Red,0,0.0,0,2.9000000000000012
3,1,1,1,-10.538466579914084,Red,0,0.0,0,7.899999999999988
4,1,0,0,-19.562444485293497,Green,0,5.726349830627441,0,4.999999999999998
5,1,0,0,-21.20931518369251,Green,0,43.11395001411438,0,9.99999999999998
6,1,0,0,-48.17589144905411,Green,0,81.64679598808289,1,14.999999999999963
7,1,1,1,-43.341098849243586,Red,0,69.38695895671844,1,4.999999999999998
8,1,1,1,-33.21580808613037,Green,1,72.39084188143413,1,0.7
9,1,0,0,-19.98898134785606,Green,0,76.24095425605773,2,5.699999999999996
10,1,0,0,-36.12128100649516,Yellow,0,140.1984249750773,3,0.7
11,1,0,0,-36.10117853429581,Red,0,0.0,0,2.600000000000001
12,1,1,1,-20.161421198844913,Red,0,0.0,0,7.599999999999989
13,1,0,0,-8.616811350981392,Green,0,22.650734066963196,0,4.999999999999998
14,1,0,0,-11.986679935455323,Green,0,50.80429220199585,1,9.99999999999998
15,1,1,1,-28.53589024702708,Red,0,83.31890654563904,3,4.999999999999998
16,1,0,0,-41.61825432062149,Green,0,116.12557625770569,3,4.999999999999998
17,1,1,1,-58.933553495407104,Green,0,163.97351741790771,3,0.4
18,1,1,1,-66.80903740464315,Green,0,204.42202854156494,3,5.399999999999997
19,1,0,0,-84.89012515544891,Yellow,0,242.84775614738464,3,0.4
20,1,0,0,-99.69222658316295,Red,0,274.51323223114014,3,2.3000000000000007
21,1,0,0,-97.16566097195943,Red,1,195.47070446014405,3,7.29999999999999
22,1,0,0,-84.06995164431461,Red,0,133.11205339431763,2,12.299999999999972
23,1,0,0,-10.667947357230718,Red,0,28.740435242652893,0,17.299999999999976
24,1,1,1,-23.069696218834988,Red,1,30.272553265094757,1,22.300000000000047
25,1,0,0,-33.685066381984285,Green,1,50.791609605153404,2,4.999999999999998
26,1,1,1,-31.588022497495018,Green,1,112.14104515314102,4,0.1
27,1,0,0,-45.29303357389242,Green,2,139.74302260080972,3,5.099999999999998
28,1,1,1,-63.068850083880974,Yellow,2,183.16045276323953,3,0.1
29,1,1,1,-76.9286338771714,Red,2,213.74279443422952,3,2.0000000000000004
30,1,0,0,-96.73529146088488,Green,2,244.82746164004007,3,4.999999999999998
31,1,1,1,-108.03820490360253,Red,0,275.63831845919293,3,4.999999999999998
32,1,0,0,-123.75063453568349,Green,1,306.5273446242015,3,4.999999999999998
33,1,0,0,-149.05591153568696,Green,1,338.04827348391217,3,9.99999999999998
34,1,0,0,-126.0151158764627,Green,0,149.01928901672363,1,14.999999999999963
35,1,0,0,-42.69142699638998,Green,1,27.373411734898884,1,20.000000000000014
36,1,0,0,-14.56797396257188,Green,0,33.17948238054911,0,25.000000000000085
37,1,1,1,-17.167910652690463,Red,0,64.78341213862102,2,4.999999999999998
38,1,0,0,-28.97652797751956,Red,0,97.47657720247905,3,1.7000000000000004
39,1,0,0,-45.03977664285238,Red,0,133.31234780947366,3,6.699999999999992
40,1,0,0,-70.29080623043907,Red,0,171.57810298601785,3,11.699999999999974
41,1,1,1,-73.81278765254548,Red,0,212.89174858729044,3,16.699999999999967
42,1,1,1,-67.81832614199323,Red,1,134.58312332630157,3,21.70000000000004
43,1,0,0,-80.98047218624745,Green,0,102.84239236513774,1,4.999999999999998
44,1,1,1,-62.13115871323479,Red,0,173.75068390369415,1,4.999999999999998
45,1,0,0,-60.35034447669983,Green,0,134.86609482765198,1,4.999999999999998
46,1,1,1,-41.54658936270078,Red,0,219.67412960529327,2,4.999999999999998
47,1,0,0,-46.386683350986885,Red,0,140.95961006482443,1,1.4000000000000001
48,1,0,0,-19.443902842733596,Red,1,29.368925988674164,0,6.399999999999993
49,1,0,0,-30.933407514095308,Red,1,54.037165105342865,1,11.399999999999975
50,1,0,0,-27.652697392304738,Red,0,77.83089202642441,4,16.399999999999963
51,1,1,1,-34.84536949062347,Red,1,103.0366181731224,4,21.400000000000034
52,1,0,0,-41.21101768096288,Green,1,125.6021448969841,4,4.999999999999998
53,1,0,0,-54.992173597017945,Green,0,149.47170847654343,4,9.99999999999998
54,1,0,0,-67.53360372781754,Green,0,172.86762088537216,4,14.999999999999963
55,1,0,0,-79.60513636668523,Green,1,195.88290756940842,4,20.000000000000014
56,1,1,1,-73.61217754761377,Red,0,220.94046276807785,4,1.0999999999999999
57,1,1,1,-74.03435843185635,Red,4,90.89101121642373,4,6.099999999999994
58,1,1,1,-43.239711751625464,Red,0,140.62467137972513,3,11.099999999999977
59,1,1,1,-42.425448177163595,Red,0,78.61241536140442,1,16.09999999999996
60,1,0,0,-9.051448418617252,Green,1,30.934580945968627,1,4.999999999999998
61,1,0,0,-25.49735137621563,Green,0,108.84302439689637,5,9.99999999999998
